"Symbol","Name","DACS Sector","DACS Industry Group","DACS Industry","Weight"
"avax","Avalanche","Smart Contract Platform","Layer 1","Layer 1","0.6135014452872034"
"btc","Bitcoin","Currency","Transparent","Transparent DeFi Currency","70.05758858780192"
"eth","Ethereum","Smart Contract Platform","Layer 1","Layer 1","24.003747337950827"
"sol","Solana","Smart Contract Platform","Layer 1","Layer 1","3.819051093666982"
"xrp","XRP","Currency","BaaS","Payments","1.5061115352930783"
